Dataset,#TrainingRelease,Classifier,Feature Selection,Balancing,Sensitivity,Accuracy,Precision,Recall,AUC,Kappa,NPofB20
STORM,3,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,76.465,0.999,0.681,0.997,0.528,0.9552772808586762
STORM,3,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,76.333,1.000,0.678,0.840,0.527,0.6435599284436494
STORM,4,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,59.526,1.000,0.503,0.994,0.273,0.9482439926062847
STORM,4,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,74.831,1.000,0.691,0.996,0.453,0.8726894639556377
STORM,4,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,98.776,0.991,0.994,0.975,0.959,0.9452402957486137
STORM,5,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,77.419,1.000,0.723,1.000,0.492,0.9438046982957162
STORM,5,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,69.749,0.999,0.629,0.997,0.385,0.8659603869184708
STORM,5,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,99.981,1.000,1.000,1.000,0.999,0.9442653155228006
STORM,6,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,98.077,0.987,0.989,0.992,0.940,0.9338630521149801
STORM,6,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,68.553,0.990,0.613,0.976,0.375,0.8728674924047675
STORM,6,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,98.805,0.985,1.000,0.970,0.962,0.9345641505024539
STORM,7,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,83.204,0.874,0.895,0.762,0.577,0.8945394891024139
STORM,7,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,73.511,0.856,0.760,0.713,0.397,0.786501054605109
STORM,7,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,88.876,0.883,0.975,0.827,0.701,0.8851652214670729
STORM,8,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,93.959,0.959,0.953,0.939,0.859,0.9434146341463414
STORM,8,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,37.776,0.652,0.212,0.737,-0.029,0.5813613076360088
STORM,8,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,97.173,0.961,1.000,0.954,0.932,0.9446341463414634
STORM,9,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,99.630,1.000,0.995,1.000,0.991,0.9575609756097561
STORM,9,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,37.792,0.901,0.111,0.906,0.055,0.6813857038302025
STORM,9,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,100.000,1.000,1.000,1.000,1.000,0.9578048780487805
STORM,10,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,99.765,1.000,0.997,1.000,0.995,0.9479698516897641
STORM,10,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,35.582,0.957,0.071,0.964,0.041,0.6524805447470817
STORM,10,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,99.950,1.000,1.000,0.999,0.999,0.9479698516897641
STORM,11,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,99.899,1.000,0.999,1.000,0.998,0.9455385363481643
STORM,11,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,34.760,0.975,0.057,0.981,0.034,0.6566147859922179
STORM,11,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,100.000,1.000,1.000,1.000,1.000,0.9457816678823243
STORM,12,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,99.933,1.000,0.999,1.000,0.998,0.9452954048140044
STORM,12,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,34.307,0.977,0.051,0.986,0.030,0.6520787746170679
STORM,12,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,100.000,1.000,1.000,1.000,1.000,0.9455385363481643
STORM,13,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,96.563,0.956,0.994,0.975,0.922,0.9463291139240506
STORM,13,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,36.843,0.908,0.048,0.939,0.026,0.6281012658227848
STORM,13,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,96.830,0.954,1.000,0.954,0.928,0.9460759493670886
STORM,14,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,99.834,1.000,0.998,1.000,0.996,0.9282284559009351
STORM,14,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,36.612,0.923,0.042,0.974,0.025,0.5643164013141269
STORM,14,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,99.967,1.000,1.000,1.000,0.999,0.9287338893100834
STORM,15,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,77.850,0.665,0.994,0.934,0.573,0.9316109422492401
STORM,15,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,56.958,0.632,0.036,0.902,0.022,0.6253799392097265
STORM,15,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,77.850,0.664,0.998,0.803,0.574,0.9240121580547113
STORM,16,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,99.851,1.000,0.997,1.000,0.997,0.9859422492401215
STORM,16,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,57.124,0.695,0.034,0.964,0.025,0.7556990881458967
STORM,16,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,100.000,1.000,1.000,1.000,1.000,0.993161094224924
STORM,17,RANDOM_FOREST,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,98.924,0.976,0.999,0.996,0.978,0.9910436137071651
STORM,17,NAIVE_BAYES,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,58.063,0.690,0.027,0.966,0.020,0.8282710280373832
STORM,17,IBK,NO_SELECTION,NO_SAMPLING,SENSITIVE_LEARNING,98.858,0.974,1.000,0.990,0.977,0.991822429906542
STORM,1,RANDOM_FOREST,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000,0.9473684210526315
STORM,1,NAIVE_BAYES,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,86.402,0.742,0.991,0.994,0.730,0.9692982456140351
STORM,1,IBK,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,99.916,1.000,0.998,0.999,0.998,0.9846491228070176
STORM,2,RANDOM_FOREST,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,99.204,1.000,0.982,1.000,0.984,0.9212218649517685
STORM,2,NAIVE_BAYES,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,94.428,0.893,0.995,0.996,0.889,0.9115755627009646
STORM,2,IBK,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,100.000,1.000,1.000,1.000,1.000,0.9437299035369775
STORM,3,RANDOM_FOREST,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,67.380,1.000,0.557,0.999,0.399,0.9494633273703041
STORM,3,NAIVE_BAYES,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,99.375,0.999,0.993,0.995,0.984,0.9539355992844365
STORM,3,IBK,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,78.078,1.000,0.702,0.776,0.554,0.6668157423971377
STORM,4,RANDOM_FOREST,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,77.786,1.000,0.727,0.997,0.497,0.9487060998151571
STORM,4,NAIVE_BAYES,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,74.002,0.999,0.682,0.993,0.440,0.9491682070240296
STORM,4,IBK,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,93.317,0.990,0.927,0.953,0.800,0.881007393715342
STORM,5,RANDOM_FOREST,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,99.119,1.000,0.989,1.000,0.971,0.9438046982957162
STORM,5,NAIVE_BAYES,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,80.026,0.999,0.755,0.997,0.533,0.9263012436665131
STORM,5,IBK,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,97.449,0.999,0.970,0.987,0.920,0.9147858129894058
STORM,6,RANDOM_FOREST,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,98.487,0.983,0.998,0.981,0.952,0.9340967515774714
STORM,6,NAIVE_BAYES,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,87.993,0.988,0.860,0.976,0.687,0.9315260574900678
STORM,6,IBK,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,97.759,0.985,0.987,0.964,0.930,0.9224117784529096
STORM,7,RANDOM_FOREST,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,87.428,0.880,0.955,0.761,0.667,0.896414342629482
STORM,7,NAIVE_BAYES,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,80.259,0.870,0.853,0.719,0.519,0.8209514881649871
STORM,7,IBK,NO_SELECTION,OVERSAMPLING,NO_COST_SENSITIVE,88.253,0.882,0.966,0.820,0.686,0.8666510428872745
